t [s],tt [s],Step_Index,Cycle_Index,I [A],V [V],cap_charge [Ahr],cap_discharge [Ahr]
1931.25001,1871.248355,2,1,0.999653101,3.695055246,0.519723606,0
1941.253824,1881.252169,2,1,0.999653101,3.695379019,0.52250182,0
1951.261466,1891.259811,2,1,0.999653101,3.695702791,0.525281124,0
1961.273073,1901.271418,2,1,0.999833703,3.69618845,0.528061477,0
1971.277841,1911.276186,2,1,0.999833703,3.696512222,0.530840007,0
1981.283627,1921.281972,2,1,0.999833703,3.696997881,0.533618762,0
1991.293277,1931.291622,2,1,0.999653101,3.697321653,0.536398588,0
2001.298021,1941.296366,2,1,0.999833703,3.697645426,0.53917709,0
2011.303779,1951.302124,2,1,0.999833703,3.697969198,0.541955865,0
2021.315404,1961.313749,2,1,0.999653101,3.698292971,0.544736229,0
2031.320155,1971.3185,2,1,0.999653101,3.698778629,0.547514728,0
2041.325933,1981.324278,2,1,0.999833703,3.699102402,0.550293465,0
2051.335597,1991.333942,2,1,0.999833703,3.699426174,0.553073345,0
2061.344248,2001.342593,2,1,0.999833703,3.699911833,0.55585291,0
2071.35296,2011.351305,2,1,0.999833703,3.700235605,0.558632497,0
2081.363568,2021.361913,2,1,0.999833703,3.700559378,0.561412618,0
2091.372239,2031.370584,2,1,0.999653101,3.700721264,0.564192198,0
2101.377017,2041.375362,2,1,0.999833703,3.701368809,0.56697072,0
2111.379834,2051.378179,2,1,0.999833703,3.701692581,0.569748652,0
2121.388597,2061.386942,2,1,0.999833703,3.702016354,0.572528245,0
2131.39623,2071.394575,2,1,0.999653101,3.702340126,0.575307508,0
2141.400037,2081.398382,2,1,0.999833703,3.702825785,0.578085703,0
2151.412638,2091.410983,2,1,0.999653101,3.703311443,0.580866336,0
2161.423243,2101.421588,2,1,0.999833703,3.70347333,0.583646425,0
2171.429965,2111.42831,2,1,0.999833703,3.703797102,0.586425419,0
2181.43083,2121.429175,2,1,0.999833703,3.704120874,0.589202809,0
2191.439543,2131.437888,2,1,0.999653101,3.704606533,0.591982409,0
2201.447221,2141.445566,2,1,1.000014305,3.705092192,0.594761721,0
2211.450064,2151.448409,2,1,1.000014305,3.705415964,0.597539672,0
2221.460744,2161.459089,2,1,0.999833703,3.705739737,0.600319822,0
2231.467412,2171.465757,2,1,0.999833703,3.706225395,0.603098838,0
2241.470251,2181.468596,2,1,0.999833703,3.706549168,0.605876812,0
2251.476971,2191.475316,2,1,0.999833703,3.707034826,0.608655858,0
2261.478838,2201.477183,2,1,0.999833703,3.707358599,0.611433541,0
2271.490451,2211.488796,2,1,0.999833703,3.707682371,0.614213936,0
2281.499119,2221.497464,2,1,0.999653101,3.708006144,0.616993536,0
2291.506131,2231.504476,2,1,0.999833703,3.708329916,0.619772649,0
2301.518396,2241.516741,2,1,0.999833703,3.708815575,0.622553271,0
2311.525185,2251.52353,2,1,0.999833703,3.709139347,0.625332337,0
2321.5299,2261.528245,2,1,0.999833703,3.70946312,0.628110839,0
2331.540529,2271.538874,2,1,0.999653101,3.709948778,0.630890984,0
2341.54827,2281.546615,2,1,0.999833703,3.710434437,0.633670335,0
2351.554106,2291.552451,2,1,0.999833703,3.710758209,0.636449143,0
2361.565735,2301.56408,2,1,0.999833703,3.711243868,0.639229566,0
2371.573318,2311.571663,2,1,0.999833703,3.711729527,0.642008859,0
2381.57906,2321.577405,2,1,0.999653101,3.711891413,0.644787632,0
2391.58091,2331.579255,2,1,0.999833703,3.712215185,0.647565314,0
2401.588595,2341.58694,2,1,0.999833703,3.71286273,0.650344791,0
2411.593384,2351.591729,2,1,0.999833703,3.713186502,0.653123616,0
2421.604955,2361.6033,2,1,1.000194907,3.713672161,0.655904281,0
2431.610708,2371.609053,2,1,1.000014305,3.713995934,0.658683309,0
2441.617435,2381.61578,2,1,0.999833703,3.714481592,0.661462633,0
2451.629056,2391.627401,2,1,0.999833703,3.714805365,0.664243296,0
2461.634828,2401.633173,2,1,1.000014305,3.715291023,0.667022369,0
2471.640549,2411.638894,2,1,0.999653101,3.715776682,0.669801419,0
2481.64928,2421.647625,2,1,1.000194907,3.716100454,0.672581314,0
2491.653035,2431.65138,2,1,0.999833703,3.716424227,0.675359852,0
2501.659767,2441.658112,2,1,1.000194907,3.716909885,0.678139208,0
2511.67239,2451.670735,2,1,0.999833703,3.717233658,0.680920183,0
2521.677127,2461.675472,2,1,1.000014305,3.717881203,0.683698946,0
2531.683914,2471.682259,2,1,0.999833703,3.718043089,0.686478307,0
2541.695501,2481.693846,2,1,0.999833703,3.718528748,0.68925899,0
2551.703158,2491.701503,2,1,1.000014305,3.71885252,0.692038589,0
2561.708956,2501.707301,2,1,0.999833703,3.719338179,0.69481768,0
2571.710789,2511.709134,2,1,0.999833703,3.719661951,0.697595667,0
2581.715556,2521.713901,2,1,1.000014305,3.72014761,0.700374472,0
2591.720302,2531.718647,2,1,1.000014305,3.720795155,0.703153286,0
2601.722191,2541.720536,2,1,0.999833703,3.721118927,0.705931267,0
2611.726944,2551.725289,2,1,1.000014305,3.721604586,0.708710059,0
